STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,BE,2011,14.817,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,NL,2011,2.241,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,T,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,BE,2011,4.279,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y55-64,F,UK,2011,,u
