STRUCTURE,STRUCTURE_ID,freq,unit,lev_perc,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,RO,2019,50.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,RS,2019,51.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,SE,2014,41.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,SE,2019,48.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,SI,2014,47.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,SI,2019,40.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,SK,2014,52.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,SK,2019,52.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,TR,2014,55.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,TR,2019,52.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,UK,2014,35.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,AT,2014,40.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,AT,2019,40.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,BE,2014,46.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,BE,2019,47.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,BG,2014,56.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,BG,2019,58.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,CY,2014,38.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,CY,2019,28.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,CZ,2014,53.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,CZ,2019,53.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,DE,2014,51.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,DE,2019,44.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,DK,2014,47.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,DK,2019,46.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EE,2014,58.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EE,2019,55.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EL,2014,53.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EL,2019,48.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,ES,2014,38.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,ES,2019,33.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EU27_2020,2014,49.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EU27_2020,2019,47.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,EU28,2014,48.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,FI,2014,53.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SM_SEV,FI,2019,54.0,
