STRUCTURE,STRUCTURE_ID,freq,unit,resid,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG4,2013,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG4,2014,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG4,2015,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG4,2016,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG4,2017,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG4,2018,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG41,2013,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG41,2014,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG41,2015,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG41,2016,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG41,2017,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2013,0.14,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2014,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2015,0.18,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2016,0.18,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2017,0.19,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2018,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2019,0.16,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH,2020,0.16,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2013,0.14,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2014,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2015,0.18,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2016,0.18,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2017,0.19,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2018,0.13,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2019,0.16,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,CH0,2020,0.16,
