STRUCTURE,STRUCTURE_ID,freq,isced97,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,BG,2008,54.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,CY,2008,60.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,CZ,2008,54.8,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,EL,2008,61.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,ES,2008,59.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,HU,2008,44.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,LV,2008,56.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,MT,2008,62,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,PL,2008,55.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,RO,2008,53.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,SI,2008,57.0,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,SK,2008,54.6,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,TR,2008,46.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,AT,2008,59.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,BE,2008,65.8,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,BG,2008,58.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,CY,2008,66,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,EL,2008,70.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,ES,2008,69.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,HU,2008,43.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,LV,2008,58.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,MT,2008,66.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,PL,2008,56.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,RO,2008,57,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,SI,2008,57.7,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,SK,2008,52.9,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,M,TR,2008,53.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,AT,2008,60.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,BE,2008,63.8,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,BG,2008,56.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,CY,2008,62.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,CZ,2008,54.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,EL,2008,65.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,ES,2008,63.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,HU,2008,44.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,LV,2008,57.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,T,MT,2008,63.8,
