STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,EU28,2011,1262.73,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,FI,2011,30.097,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,FR,2011,310.995,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,HU,2011,6.618,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,IE,2011,4.136,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,IS,2011,1.376,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,IT,2011,61.141,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,LT,2011,4.621,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,LU,2011,4.122,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,LV,2011,6.212,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,NL,2011,49.461,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,PL,2011,51.251,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,PT,2011,38.685,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,RO,2011,18.791,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,SE,2011,48.829,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,SI,2011,4.875,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,SK,2011,4.236,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,TR,2011,177.067,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,UK,2011,205.433,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,AT,2011,59.084,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,BE,2011,29.2,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,CH,2011,42.457,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,CY,2011,1.316,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,CZ,2011,10.878,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,DE,2011,276.675,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,DK,2011,22.678,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,EE,2011,4.62,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,M,EL,2011,6.764,u
