STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,CY,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,CZ,2008,36.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,EL,2008,21,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,ES,2008,26.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,HU,2008,27.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,LV,2008,14.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,MT,2008,17.2,u
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,PL,2008,20.1,u
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,RO,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,SI,2008,20.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,SK,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,TR,2008,13.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED3_4,F,PC,AT,2008,34,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED3_4,F,PC,BE,2008,50.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED3_4,F,PC,BG,2008,10.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED3_4,F,PC,CY,2008,19.7,
