STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,FR,2012,1970.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,HU,2012,529.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,IS,2012,11.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,IT,2012,999.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,LT,2012,137.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,LU,2012,24.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,LV,2012,81.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,MT,2012,10.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,NL,2012,716.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,NO,2012,253.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,PL,2012,1474.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,PT,2012,266.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,RO,2012,719.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,SE,2012,306.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,SI,2012,88.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,SK,2012,249.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,UK,2012,3377.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,T,AT,2012,653.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,T,BE,2012,1114.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,T,BG,2012,681.1,
