STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CY,2020,44.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CZ,2007,8.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CZ,2013,19.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CZ,2020,21.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,DE,2007,10.0,u
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,DE,2013,20.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,DE,2020,20.6,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,DK,2007,26.0,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,DK,2013,17.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,DK,2020,42.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EA19,2007,28.7,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EA19,2013,50.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EA19,2020,54.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EE,2007,21.3,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EE,2013,79.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EE,2020,61.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EL,2007,12.0,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EL,2013,34.4,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,EL,2020,59.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,ES,2007,27.8,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,ES,2013,48.9,b
