STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,deviatn,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_7,EU_V,2005,13.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_8,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_9,EU_V,2005,1.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_2,EU_V,2005,1.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_3,EU_V,2005,9.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_4,EU_V,2005,20.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_5,EU_V,2005,22.7,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_6,EU_V,2005,18.2,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_7,EU_V,2005,19.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_8,EU_V,2005,3.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,DEV_9,EU_V,2005,4.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,Q,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_1,EU_V,2005,0.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_2,EU_V,2005,2.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,TOTAL,DEV_3,EU_V,2005,9.4,
