STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,MT,2008,44.4,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,PL,2008,62.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,RO,2008,65.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,SI,2008,62.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,SK,2008,70.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,TR,2008,54.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,AT,2008,61.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,BE,2008,58.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,BG,2008,63.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,CY,2008,63.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,CZ,2008,69.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,DE,2008,56.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,EE,2008,61.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,EL,2008,67.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,ES,2008,63.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,HU,2008,56.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,LV,2008,62.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,MT,2008,46.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,PL,2008,68.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,RO,2008,68.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU3,SI,2008,61.4,
