STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_de,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,NO,2015,0.07,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,NO,2016,0.07,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,NO,2017,0.05,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,NO,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,NO,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,NO,2020,0.04,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2011,0.08,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2012,0.08,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2013,0.12,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2014,0.09,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2015,0.07,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2016,0.09,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2017,0.08,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PL,2020,0.09,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PT,2011,0.02,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PT,2012,0.01,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PT,2013,0.04,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,M,INFMORRT,Q90-Q99,PT,2014,0.05,
