STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,FI,2012,216.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,FR,2012,2343.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,HU,2012,610.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,IS,2012,9.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,IT,2012,2338.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,LT,2012,157.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,LU,2012,26.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,LV,2012,98.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,MT,2012,12.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,NL,2012,633.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,NO,2012,185.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,PL,2012,1830.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,PT,2012,435.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,RO,2012,1081.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,SE,2012,309.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,SI,2012,117.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,SK,2012,233.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,UK,2012,3569.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,AT,2012,966.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,BE,2012,1173.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,BG,2012,1059.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,CY,2012,73.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,CZ,2012,1096.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,DE,2012,11371.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,T,DK,2012,705.4,
