STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,NL,2012,394.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,NO,2012,140.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,PL,2012,679.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,PT,2012,229.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,RO,2012,119.2,u
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,SE,2012,199.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,SI,2012,43.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,SK,2012,123.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,UK,2012,1199.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,AT,2012,135.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,BE,2012,190.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,BG,2012,227.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,CY,2012,22.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,CZ,2012,265.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,DE,2012,2422.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,DK,2012,124.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,EE,2012,27.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,EEA,2012,10474.5,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,EL,2012,258.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,ES,2012,770.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,EU27_2007,2012,10381.9,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,FI,2012,113.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,FR,2012,1467.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,HU,2012,278.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,IS,2012,4.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,IT,2012,1242.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,LT,2012,59.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,LU,2012,7.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,LV,2012,56.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,M,MT,2012,4.8,
