STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,icha_hc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,PL,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,RO,2008,5.9,u
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,SK,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,AT,2008,22.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,BE,2008,8.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,CY,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,EL,2008,2.8,u
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,ES,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,FR,2008,6.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,HU,2008,16.9,u
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,LV,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,MT,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,PL,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,RO,2008,3.8,u
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,IN,PC,SK,2008,10.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,AT,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,BE,2008,6.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,BG,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,CY,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,CZ,2008,6.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,EL,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,ES,2008,6.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,HU,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,LV,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,MT,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,TOTAL,DAY,PC,PL,2008,2.3,
