STRUCTURE,STRUCTURE_ID,freq,unit,isced97,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,FR,2012,1536.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,HU,2012,273.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,IS,2012,6.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,IT,2012,2202.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,LT,2012,62.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,LU,2012,14.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,LV,2012,47.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,MT,2012,14.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,NL,2012,471.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,NO,2012,61.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,PL,2012,1037.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,PT,2012,466.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,RO,2012,617.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,SE,2012,162.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,SI,2012,45.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,SK,2012,42.6,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,UK,2012,1089.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,T,AT,2012,431.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,T,BE,2012,707.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,T,BG,2012,586.2,
