STRUCTURE,STRUCTURE_ID,freq,unit,quantile,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,EL,2012,77.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,ES,2012,589.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,EU27_2007,2012,9154.9,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,FI,2012,113.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,FR,2012,856.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,HU,2012,305.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,IS,2012,4.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,IT,2012,327.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,LT,2012,56.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,LU,2012,9.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,LV,2012,59.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,MT,2012,4.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,NL,2012,304.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,NO,2012,93.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,PL,2012,599.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,PT,2012,35.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,RO,2012,893.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,SE,2012,78.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,SI,2012,37.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,SK,2012,170.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,UK,2012,1648.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,AT,2012,173.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,BE,2012,178.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,BG,2012,402.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,CY,2012,13.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,CZ,2012,197.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,DE,2012,3561.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,DK,2012,190.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,EE,2012,68.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,EEA,2012,15293.4,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,EL,2012,242.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,ES,2012,1325.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,EU27_2007,2012,15130.5,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y_GE15,F,FI,2012,178.0,
