STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,IT,2011,57.58,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,LT,2011,8.613,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,LU,2011,1.467,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,LV,2011,4.206,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,NL,2011,41.731,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,PL,2011,68.279,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,PT,2011,26.614,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,RO,2011,39.199,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,SE,2011,48.707,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,SI,2011,2.418,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,SK,2011,7.434,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,TR,2011,386.521,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,UK,2011,316.45,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,AT,2011,62.502,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,BE,2011,52.282,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,BG,2011,16.784,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,CH,2011,51.582,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,CY,2011,1.591,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,CZ,2011,16.024,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,DE,2011,313.319,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,DK,2011,31.715,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,EE,2011,7.269,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,EL,2011,13.116,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,ES,2011,112.421,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,FI,2011,33.683,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,FR,2011,513.457,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,HR,2011,6.151,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,HU,2011,19.393,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,IE,2011,9.514,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,IS,2011,1.869,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,IT,2011,112.933,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,LT,2011,8.952,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,LU,2011,5.013,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,LV,2011,8.344,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,NL,2011,76.609,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,PL,2011,115.207,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,PT,2011,56.192,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,RO,2011,44.079,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,SE,2011,55.909,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,SI,2011,6.117,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,SK,2011,14.106,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,TR,2011,571.632,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,F,UK,2011,351.176,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,AT,2011,64.652,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,BE,2011,46.889,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,BG,2011,15.046,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,CH,2011,42.731,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,CY,2011,2.255,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,CZ,2011,20.832,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,DE,2011,323.28,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,DK,2011,31.406,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,EE,2011,7.251,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,EL,2011,18.127,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,ES,2011,98.334,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,FI,2011,36.518,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,FR,2011,386.336,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,HR,2011,7.446,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,HU,2011,18.87,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,IE,2011,9.337,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,IS,2011,2.51,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,IT,2011,121.811,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,LT,2011,9.411,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,LU,2011,4.561,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,LV,2011,9.185,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,MT,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,NL,2011,56.859,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y25-34,M,PL,2011,142.58,
