STRUCTURE,STRUCTURE_ID,freq,unit,barrier,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,SK,2012,106.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,UK,2012,1900.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,AT,2012,179.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,BE,2012,324.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,BG,2012,285.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,CY,2012,19.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,CZ,2012,335.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,DE,2012,2914.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,DK,2012,182.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,EE,2012,45.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,EEA,2012,16763.6,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,EL,2012,461.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,ES,2012,1472.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,EU27_2007,2012,16623.9,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,FI,2012,125.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,FR,2012,1303.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,HU,2012,623.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,IS,2012,4.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,IT,2012,2131.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,LT,2012,141.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,LU,2012,10.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,LV,2012,71.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,MT,2012,8.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,NL,2012,382.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,NO,2012,135.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,PL,2012,1495.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,PT,2012,260.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,RO,2012,954.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,SE,2012,130.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,SI,2012,84.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,SK,2012,133.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,F,UK,2012,2548.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,AT,2012,142.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,BE,2012,160.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,BG,2012,168.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,CY,2012,14.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,CZ,2012,180.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,DE,2012,2017.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,DK,2012,126.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,EE,2012,19.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,EEA,2012,10467.3,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,EL,2012,227.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,ES,2012,811.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,EU27_2007,2012,10378.8,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,FI,2012,68.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,FR,2012,843.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,HU,2012,302.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,IS,2012,1.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,IT,2012,1027.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,LT,2012,59.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,LU,2012,7.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,LV,2012,28.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,MT,2012,6.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,NL,2012,224.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,NO,2012,87.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,PL,2012,740.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y_GE15,M,PT,2012,176.3,
