STRUCTURE,STRUCTURE_ID,freq,unit,source,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2001,56.80,b
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2002,62.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2003,59.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2004,62.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2005,63.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2006,63.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2007,64.10,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2008,64.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2009,63.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2010,62.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2011,55.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2012,64.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2013,56.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2014,61.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2015,58.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2016,58.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2017,57.10,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2018,55.10,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2019,53.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2020,50.80,p
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LV,2009,21.10,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LV,2010,19.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LV,2011,33.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LV,2012,32.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LV,2013,34.20,
