STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,n_job,worktime,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,J,EU_V,1999,92,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,K,EU_V,1999,48,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,L,EU_V,1999,27,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,M,EU_V,1999,49,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,N,EU_V,1999,115,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,O,EU_V,1999,36,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,P,EU_V,1999,60,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,TOTAL,EU_V,1999,73,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H_GE50,A,EU_V,1999,59,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H_GE50,G,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H_GE50,H,EU_V,1999,47,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H_GE50,N,EU_V,1999,199,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H_GE50,O,EU_V,1999,220,
