STRUCTURE,STRUCTURE_ID,freq,sex,age,levels,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,SI,2008,7.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,SK,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,TR,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,BG,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,CY,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,CZ,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,EE,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,EL,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,ES,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,HU,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,LV,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,MT,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,PL,2008,6.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,RO,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,SI,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,SK,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED5_6,TR,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,TOTAL,BG,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,TOTAL,CY,2008,7.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,TOTAL,CZ,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,TOTAL,EE,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,TOTAL,EL,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,TOTAL,ES,2008,12.3,
