STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,AT,2011,28.129,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,BE,2011,22.708,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,BG,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,CH,2011,28.482,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,CY,2011,1.033,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,CZ,2011,5.052,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,DE,2011,213.237,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,DK,2011,14.191,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,EE,2011,3.623,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,EL,2011,6.903,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,ES,2011,55.696,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,FI,2011,11.136,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,FR,2011,205.529,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,HR,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,HU,2011,4.658,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,IE,2011,3.573,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,IT,2011,71.163,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,LT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,LU,2011,2.033,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,LV,2011,5.112,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,MT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,M,NL,2011,45.649,
