STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,EL,2011,47,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,ES,2011,46.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,FI,2011,25.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,FR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,HU,2011,42.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,IE,2011,28.8,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,IS,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,IT,2011,45.6,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,LT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,MT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,NL,2011,32.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,PL,2011,28.3,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,PT,2011,39.5,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,RO,2011,62.5,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,SE,2011,14.9,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,SI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,SK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,TR,2011,60.3,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,UK,2011,26.3,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,AT,2011,18.8,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,BE,2011,23.9,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,BG,2011,61.1,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,CH,2011,13.5,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,CY,2011,27.9,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,CZ,2011,27.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,DE,2011,19.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,DK,2011,16.9,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,EE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,EL,2011,39.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,ES,2011,43.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,FI,2011,18.9,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,FR,2011,21.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,HU,2011,46.8,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,IE,2011,27.7,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,IS,2011,39.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,IT,2011,38.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,LT,2011,44.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,T,MT,2011,,u
