STRUCTURE,STRUCTURE_ID,freq,age,sex,icd10,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,ES,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,HU,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,LV,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,MT,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,PL,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,RO,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,SI,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,SK,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,TR,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,AT,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,BE,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,BG,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,CY,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,CZ,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,EL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,ES,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,HU,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,LV,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,MT,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,PL,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED3_4,RO,2008,0.9,
