STRUCTURE,STRUCTURE_ID,freq,unit,age,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,IT,2007,1.8,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,IT,2013,1.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,IT,2020,1.0,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LT,2007,0.4,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LT,2013,0.8,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LT,2020,0.3,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LU,2007,2.1,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LU,2013,2.1,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LU,2020,1.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LV,2007,,du
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LV,2013,0.7,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,LV,2020,0.3,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,MT,2007,2.0,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,MT,2013,1.0,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,MT,2020,0.6,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,NL,2007,0.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,NL,2020,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,NO,2007,0.8,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,NO,2013,0.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,NO,2020,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,PL,2007,0.8,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,PL,2013,0.7,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,PL,2020,0.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,PT,2007,1.9,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,PT,2013,1.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,PT,2020,1.7,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,RO,2007,0.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,RO,2013,0.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,RO,2020,0.3,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SE,2007,1.0,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SE,2013,1.1,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SE,2020,0.9,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SI,2007,2.5,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SI,2013,1.7,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SI,2020,0.9,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SK,2007,0.8,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SK,2013,1.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,SK,2020,0.8,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,TR,2013,1.0,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,UK,2007,0.9,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,D_GE4,UK,2013,0.8,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,AT,2007,1.0,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,AT,2013,0.7,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,AT,2020,0.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,BE,2007,0.8,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,BE,2013,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,BE,2020,0.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,BG,2007,,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,BG,2013,,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,BG,2020,,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CH,2013,0.8,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CH,2020,0.8,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CY,2007,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CY,2013,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CY,2020,0.3,u
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CZ,2007,1.0,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CZ,2013,0.6,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,CZ,2020,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,DE,2007,0.4,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,DE,2020,0.2,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,DK,2007,0.6,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,DK,2013,0.5,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,DK,2020,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,EA19,2007,0.6,d
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,EA19,2020,0.4,
dataflow,ESTAT:HSW_AC3(1.0),A,PC_EMP_PREEMP_M12,Y15-64,M_GE1,EE,2007,0.4,du
