STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,EU28,2011,429.9,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,FI,2011,6.574,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,HU,2011,2.724,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,IE,2011,5.991,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,IT,2011,28.89,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,LT,2011,6.609,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,NL,2011,17.512,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,PL,2011,60.361,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,PT,2011,16.223,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,RO,2011,29.148,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,SI,2011,4.531,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,SK,2011,11.995,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,TR,2011,129.315,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,UK,2011,76.351,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,T,AT,2011,10.83,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,T,BE,2011,34.318,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,T,BG,2011,14.102,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,T,CH,2011,12.475,
