STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,1998,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,1999,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2000,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2001,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2002,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2003,198,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2004,230,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2005,231,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2006,226,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,2007,704,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ070,EU15_NO,1997,768,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ070,EU15_NO,1998,801,
